"indicator","base-per","Unit","Date","Value"
"EDUCATIONAL SERVICES","2023","Index","2015M1","89.4114304941886"
"EDUCATIONAL SERVICES","2023","Index","2015M2","89.4114304941886"
"EDUCATIONAL SERVICES","2023","Index","2015M3","89.4114304941886"
"EDUCATIONAL SERVICES","2023","Index","2015M4","89.4114304941886"
"EDUCATIONAL SERVICES","2023","Index","2015M5","89.4114304941886"
"EDUCATIONAL SERVICES","2023","Index","2015M6","89.4114304941886"
"EDUCATIONAL SERVICES","2023","Index","2015M7","89.4114304941886"
"EDUCATIONAL SERVICES","2023","Index","2015M8","89.4114304941886"
"EDUCATIONAL SERVICES","2023","Index","2015M9","89.4114304941886"
"EDUCATIONAL SERVICES","2023","Index","2015M10","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2015M11","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2015M12","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2016M1","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2016M2","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2016M3","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2016M4","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2016M5","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2016M6","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2016M7","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2016M8","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2016M9","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2016M10","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2016M11","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2016M12","89.7670253435458"
"EDUCATIONAL SERVICES","2023","Index","2017M1","88.6237453460777"
"EDUCATIONAL SERVICES","2023","Index","2017M2","88.6237453460777"
"EDUCATIONAL SERVICES","2023","Index","2017M3","88.6237453460777"
"EDUCATIONAL SERVICES","2023","Index","2017M4","88.6237453460777"
"EDUCATIONAL SERVICES","2023","Index","2017M5","88.6237453460777"
"EDUCATIONAL SERVICES","2023","Index","2017M6","88.6237453460777"
"EDUCATIONAL SERVICES","2023","Index","2017M7","88.6237453460777"
"EDUCATIONAL SERVICES","2023","Index","2017M8","88.6237453460777"
"EDUCATIONAL SERVICES","2023","Index","2017M9","88.8153454244595"
"EDUCATIONAL SERVICES","2023","Index","2017M10","89.4685275098522"
